 filename, receiver, sender, num
./matrix/road_central.mtx, 5, 7, 0
./matrix/road_central.mtx, 4, 7, 0
./matrix/inline_1.mtx, 3, 0, 0
./matrix/inline_1.mtx, 7, 0, 0
./matrix/inline_1.mtx, 5, 0, 0
./matrix/inline_1.mtx, 2, 0, 1272
./matrix/inline_1.mtx, 1, 0, 9132
./matrix/inline_1.mtx, 4, 0, 0
./matrix/inline_1.mtx, 0, 0, 0
./matrix/inline_1.mtx, 6, 0, 441
./matrix/inline_1.mtx, 3, 1, 3123
./matrix/inline_1.mtx, 7, 1, 0
./matrix/inline_1.mtx, 1, 1, 0
./matrix/inline_1.mtx, 5, 1, 0
./matrix/inline_1.mtx, 4, 1, 330
./matrix/inline_1.mtx, 2, 1, 537
./matrix/inline_1.mtx, 0, 1, 2381
./matrix/inline_1.mtx, 6, 1, 159
./matrix/inline_1.mtx, 3, 2, 0
./matrix/inline_1.mtx, 7, 2, 0
./matrix/inline_1.mtx, 1, 2, 18
./matrix/inline_1.mtx, 5, 2, 684
./matrix/inline_1.mtx, 4, 2, 4803
./matrix/inline_1.mtx, 2, 2, 0
./matrix/inline_1.mtx, 0, 2, 0
./matrix/inline_1.mtx, 6, 2, 54
./matrix/inline_1.mtx, 3, 3, 0
./matrix/inline_1.mtx, 1, 3, 0
./matrix/inline_1.mtx, 7, 3, 1569
./matrix/inline_1.mtx, 5, 3, 4632
./matrix/inline_1.mtx, 4, 3, 345
./matrix/inline_1.mtx, 2, 3, 42
./matrix/inline_1.mtx, 0, 3, 0
./matrix/inline_1.mtx, 6, 3, 303
./matrix/inline_1.mtx, 3, 4, 9
./matrix/inline_1.mtx, 7, 4, 6
./matrix/inline_1.mtx, 1, 4, 0
./matrix/inline_1.mtx, 5, 4, 1554
./matrix/inline_1.mtx, 4, 4, 0
./matrix/inline_1.mtx, 2, 4, 0
./matrix/inline_1.mtx, 0, 4, 0
./matrix/inline_1.mtx, 6, 4, 2154
./matrix/inline_1.mtx, 3, 5, 27
./matrix/inline_1.mtx, 7, 5, 675
./matrix/inline_1.mtx, 1, 5, 126
./matrix/inline_1.mtx, 5, 5, 0
./matrix/inline_1.mtx, 4, 5, 321
./matrix/inline_1.mtx, 2, 5, 213
./matrix/inline_1.mtx, 6, 5, 345
./matrix/inline_1.mtx, 0, 5, 495
./matrix/inline_1.mtx, 3, 6, 0
./matrix/inline_1.mtx, 7, 6, 804
./matrix/inline_1.mtx, 1, 6, 0
./matrix/inline_1.mtx, 5, 6, 3
./matrix/inline_1.mtx, 4, 6, 6
./matrix/inline_1.mtx, 2, 6, 0
./matrix/inline_1.mtx, 6, 6, 0
./matrix/inline_1.mtx, 0, 6, 0
./matrix/inline_1.mtx, 3, 7, 0
./matrix/inline_1.mtx, 7, 7, 0
./matrix/inline_1.mtx, 1, 7, 0
./matrix/inline_1.mtx, 5, 7, 924
./matrix/inline_1.mtx, 4, 7, 1422
./matrix/inline_1.mtx, 2, 7, 0
./matrix/inline_1.mtx, 6, 7, 1086
./matrix/inline_1.mtx, 0, 7, 0
