matrix, rownum, colnum, nnzR, rec_time, spmv_time, time, GFlops, process, thread
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.470000, 2.705000, 3.175000, 15.732883, 16, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.193000, 0.258000, 0.451000, 17.771100, 16, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 2.121000, 0.967000, 3.088000, 22.517621, 32, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.824000, 1.193000, 2.017000, 22.544524, 32, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.732000, 0.900000, 1.632000, 25.740039, 32, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.917000, 1.137000, 2.054000, 24.319330, 32, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.363000, 0.314000, 0.677000, 11.838650, 32, 4
../matrix/audikw_1.mtx, 943695, 943695, 77651847, 2.783000, 0.725000, 3.508000, 44.271292, 64, 4
../matrix/bone010.mtx, 986703, 986703, 71666325, 1.376000, 0.558000, 1.934000, 74.112022, 64, 4
../matrix/dielFilterV2real.mtx, 1157456, 1157456, 48538952, 1.679000, 0.770000, 2.449000, 39.639814, 64, 4
../matrix/asia_osm.mtx, 11950757, 11950757, 25423206, 0.957000, 1.757000, 2.714000, 18.734861, 64, 4
../matrix/ldoor.mtx, 952203, 952203, 46522475, 1.026000, 0.425000, 1.451000, 64.124707, 64, 4
../matrix/nlpkkt80.mtx, 1062400, 1062400, 28704672, 2.765000, 0.380000, 3.145000, 18.254163, 64, 4
../matrix/rajat31.mtx, 4690002, 4690002, 20316253, 0.959000, 0.420000, 1.379000, 29.465197, 64, 4
../matrix/rgg_n_2_21_s0.mtx, 2097152, 2097152, 28975990, 1.014000, 1.731000, 2.745000, 21.111832, 64, 4
../matrix/road_central.mtx, 14081816, 14081816, 33866826, 1.449000, 1.939000, 3.388000, 19.992223, 64, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 1.447000, 0.766000, 2.213000, 33.272790, 64, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 1.318000, 1.656000, 2.974000, 36.946982, 64, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.919000, 1.005000, 1.924000, 25.715553, 64, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.902000, 0.956000, 1.858000, 15.100060, 64, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 1.097000, 0.888000, 1.985000, 27.454549, 64, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.922000, 0.235000, 1.157000, 8.636128, 64, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 3.399000, 4.419000, 7.818000, 8.894144, 64, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 2.078000, 0.716000, 2.794000, 16.274984, 64, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.700000, 0.589000, 1.289000, 32.589406, 64, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 1.664000, 1.042000, 2.706000, 18.459684, 64, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.851000, 0.454000, 1.305000, 6.141583, 64, 4
